,Temperature
1961-01-01,13.143258094787598
1961-01-02,11.12380599975586
1961-01-03,10.0845947265625
1961-01-04,10.6580810546875
1961-01-05,9.927291870117188
1961-01-06,9.143577575683594
1961-01-07,9.589428901672363
1961-01-08,9.340031623840332
1961-01-09,9.862430572509766
1961-01-10,9.183747291564941
1961-01-11,9.512483596801758
1961-01-12,9.198719024658203
1961-01-13,8.64576244354248
1961-01-14,8.972805976867676
1961-01-15,8.84244155883789
1961-01-16,9.934576034545898
1961-01-17,10.412493705749512
1961-01-18,10.23271656036377
1961-01-19,10.344101905822754
1961-01-20,10.693750381469727
1961-01-21,10.034317016601562
1961-01-22,8.275517463684082
1961-01-23,9.172945976257324
1961-01-24,9.721843719482422
1961-01-25,10.668505668640137
1961-01-26,10.222840309143066
1961-01-27,10.511974334716797
1961-01-28,11.135847091674805
1961-01-29,11.665190696716309
1961-01-30,11.571826934814453
1961-01-31,11.672257423400879
1961-02-01,11.527568817138672
1961-02-02,9.688803672790527
1961-02-03,8.535993576049805
1961-02-04,8.907344818115234
1961-02-05,9.880637168884277
1961-02-06,10.000893592834473
1961-02-07,9.730062484741211
1961-02-08,8.745506286621094
1961-02-09,7.440730571746826
1961-02-10,7.30655574798584
1961-02-11,8.325835227966309
1961-02-12,8.415372848510742
1961-02-13,8.20659065246582
1961-02-14,7.753156661987305
1961-02-15,7.4329938888549805
1961-02-16,8.158611297607422
1961-02-17,9.063130378723145
1961-02-18,10.769558906555176
1961-02-19,11.90556812286377
1961-02-20,12.840296745300293
1961-02-21,12.805112838745117
1961-02-22,12.9030179977417
1961-02-23,13.122321128845215
1961-02-24,13.214695930480957
1961-02-25,13.36929988861084
1961-02-26,13.036598205566406
1961-02-27,12.926103591918945
1961-02-28,13.35546588897705
1961-03-01,13.159472465515137
1961-03-02,13.398673057556152
1961-03-03,13.334979057312012
1961-03-04,13.745312690734863
1961-03-05,15.449329376220703
1961-03-06,15.307311058044434
1961-03-07,14.854910850524902
1961-03-08,14.255722999572754
1961-03-09,14.755888938903809
1961-03-10,15.293206214904785
1961-03-11,16.090837478637695
1961-03-12,16.567581176757812
1961-03-13,17.25961685180664
1961-03-14,17.77858543395996
1961-03-15,18.575885772705078
1961-03-16,16.967037200927734
1961-03-17,16.011253356933594
1961-03-18,15.642134666442871
1961-03-19,15.64444351196289
1961-03-20,16.486055374145508
1961-03-21,16.0686092376709
1961-03-22,15.829144477844238
1961-03-23,16.725500106811523
1961-03-24,17.190502166748047
1961-03-25,17.413087844848633
1961-03-26,16.392393112182617
1961-03-27,15.660457611083984
1961-03-28,15.442049026489258
1961-03-29,15.109267234802246
1961-03-30,15.676348686218262
1961-03-31,16.49152183532715
1961-04-01,17.235612869262695
1961-04-02,15.085506439208984
1961-04-03,16.05246353149414
1961-04-04,17.484291076660156
1961-04-05,17.820819854736328
1961-04-06,17.824020385742188
1961-04-07,16.744964599609375
1961-04-08,18.057918548583984
1961-04-09,16.443008422851562
1961-04-10,17.308809280395508
1961-04-11,18.88988494873047
1961-04-12,20.221141815185547
1961-04-13,21.33858299255371
1961-04-14,22.320940017700195
1961-04-15,21.21982192993164
1961-04-16,20.346874237060547
1961-04-17,20.30080223083496
1961-04-18,20.31473731994629
1961-04-19,21.193344116210938
1961-04-20,21.993288040161133
1961-04-21,22.43720054626465
1961-04-22,23.125295639038086
1961-04-23,22.041889190673828
1961-04-24,21.821748733520508
1961-04-25,21.448883056640625
1961-04-26,20.76190948486328
1961-04-27,20.627117156982422
1961-04-28,20.650253295898438
1961-04-29,20.997791290283203
1961-04-30,20.736282348632812
1961-05-01,19.876535415649414
1961-05-02,18.805103302001953
1961-05-03,20.167957305908203
1961-05-04,19.495651245117188
1961-05-05,19.864171981811523
1961-05-06,20.101774215698242
1961-05-07,19.714826583862305
1961-05-08,20.29227066040039
1961-05-09,20.956092834472656
1961-05-10,20.779518127441406
1961-05-11,21.8602237701416
1961-05-12,21.773666381835938
1961-05-13,21.43338394165039
1961-05-14,21.827220916748047
1961-05-15,22.047576904296875
1961-05-16,22.42212677001953
1961-05-17,23.340394973754883
1961-05-18,24.233583450317383
1961-05-19,23.896535873413086
1961-05-20,23.82973289489746
1961-05-21,24.21685791015625
1961-05-22,23.916229248046875
1961-05-23,22.227745056152344
1961-05-24,22.355865478515625
1961-05-25,23.076614379882812
1961-05-26,22.457435607910156
1961-05-27,23.017303466796875
1961-05-28,23.844648361206055
1961-05-29,23.247608184814453
1961-05-30,23.72893524169922
1961-05-31,23.56451416015625
1961-06-01,25.377445220947266
1961-06-02,24.843015670776367
1961-06-03,23.305471420288086
1961-06-04,22.344362258911133
1961-06-05,21.68977165222168
1961-06-06,20.946002960205078
1961-06-07,20.735164642333984
1961-06-08,21.6675968170166
1961-06-09,22.540964126586914
1961-06-10,23.00368881225586
1961-06-11,22.919952392578125
1961-06-12,21.552078247070312
1961-06-13,20.449806213378906
1961-06-14,19.943782806396484
1961-06-15,19.98004150390625
1961-06-16,21.185392379760742
1961-06-17,21.698299407958984
1961-06-18,21.823911666870117
1961-06-19,22.254060745239258
1961-06-20,22.208023071289062
1961-06-21,21.834142684936523
1961-06-22,22.100643157958984
1961-06-23,22.33875274658203
1961-06-24,22.317659378051758
1961-06-25,22.62839698791504
1961-06-26,23.847640991210938
1961-06-27,24.581722259521484
1961-06-28,23.918046951293945
1961-06-29,23.804630279541016
1961-06-30,23.394079208374023
1961-07-01,23.585237503051758
1961-07-02,23.386985778808594
1961-07-03,23.897459030151367
1961-07-04,24.306638717651367
1961-07-05,24.20158576965332
1961-07-06,23.48177719116211
1961-07-07,22.929044723510742
1961-07-08,22.421764373779297
1961-07-09,22.5026912689209
1961-07-10,22.58706283569336
1961-07-11,22.388729095458984
1961-07-12,23.393518447875977
1961-07-13,22.923494338989258
1961-07-14,22.534116744995117
1961-07-15,22.475975036621094
1961-07-16,23.032297134399414
1961-07-17,22.694271087646484
1961-07-18,22.915891647338867
1961-07-19,23.363618850708008
1961-07-20,23.635963439941406
1961-07-21,23.248727798461914
1961-07-22,23.300691604614258
1961-07-23,22.621503829956055
1961-07-24,22.209285736083984
1961-07-25,22.935142517089844
1961-07-26,23.187828063964844
1961-07-27,23.840360641479492
1961-07-28,23.071380615234375
1961-07-29,22.46920394897461
1961-07-30,22.767759323120117
1961-07-31,22.88785171508789
1961-08-01,22.983139038085938
1961-08-02,23.28430938720703
1961-08-03,22.64153480529785
1961-08-04,23.045547485351562
1961-08-05,23.12145233154297
1961-08-06,22.67438316345215
1961-08-07,23.249300003051758
1961-08-08,23.180025100708008
1961-08-09,22.73159408569336
1961-08-10,22.618305206298828
1961-08-11,22.70573616027832
1961-08-12,23.0505313873291
1961-08-13,23.13926887512207
1961-08-14,22.488117218017578
1961-08-15,22.71543312072754
1961-08-16,22.663129806518555
1961-08-17,22.84217643737793
1961-08-18,23.268035888671875
1961-08-19,23.69521713256836
1961-08-20,21.159040451049805
1961-08-21,21.16202163696289
1961-08-22,22.192834854125977
1961-08-23,22.64371109008789
1961-08-24,23.026823043823242
1961-08-25,22.57362174987793
1961-08-26,22.308399200439453
1961-08-27,22.711654663085938
1961-08-28,22.943267822265625
1961-08-29,23.065143585205078
1961-08-30,22.587465286254883
1961-08-31,21.867692947387695
1961-09-01,21.476470947265625
1961-09-02,22.018878936767578
1961-09-03,22.37643814086914
1961-09-04,22.596235275268555
1961-09-05,22.379566192626953
1961-09-06,21.87217140197754
1961-09-07,21.9165096282959
1961-09-08,21.988937377929688
1961-09-09,21.908754348754883
1961-09-10,22.324844360351562
1961-09-11,22.042116165161133
1961-09-12,22.435930252075195
1961-09-13,22.69487190246582
1961-09-14,22.862205505371094
1961-09-15,21.933029174804688
1961-09-16,21.626855850219727
1961-09-17,22.108348846435547
1961-09-18,22.20004653930664
1961-09-19,22.91960334777832
1961-09-20,22.09147071838379
1961-09-21,21.766141891479492
1961-09-22,21.890520095825195
1961-09-23,21.157129287719727
1961-09-24,21.05274200439453
1961-09-25,21.59441375732422
1961-09-26,21.728683471679688
1961-09-27,21.37059211730957
1961-09-28,21.668758392333984
1961-09-29,21.594449996948242
1961-09-30,21.019380569458008
1961-10-01,19.60763931274414
1961-10-02,19.523990631103516
1961-10-03,19.42498779296875
1961-10-04,19.854724884033203
1961-10-05,20.26787567138672
1961-10-06,21.03275489807129
1961-10-07,20.708118438720703
1961-10-08,20.63050651550293
1961-10-09,20.63003921508789
1961-10-10,20.34584617614746
1961-10-11,20.510665893554688
1961-10-12,18.90907096862793
1961-10-13,18.619413375854492
1961-10-14,17.319536209106445
1961-10-15,18.04385757446289
1961-10-16,17.90846824645996
1961-10-17,17.5792236328125
1961-10-18,17.57424545288086
1961-10-19,17.50977897644043
1961-10-20,17.17860221862793
1961-10-21,16.872467041015625
1961-10-22,16.843008041381836
1961-10-23,16.75702476501465
1961-10-24,17.080188751220703
1961-10-25,17.082901000976562
1961-10-26,16.602340698242188
1961-10-27,15.662662506103516
1961-10-28,16.16226577758789
1961-10-29,16.281349182128906
1961-10-30,15.346046447753906
1961-10-31,15.63038444519043
1961-11-01,15.53223991394043
1961-11-02,15.62108039855957
1961-11-03,15.012796401977539
1961-11-04,14.627116203308105
1961-11-05,14.397614479064941
1961-11-06,14.04153823852539
1961-11-07,13.446643829345703
1961-11-08,12.628297805786133
1961-11-09,12.621376037597656
1961-11-10,12.517461776733398
1961-11-11,12.85413932800293
1961-11-12,12.708905220031738
1961-11-13,12.813250541687012
1961-11-14,12.752140998840332
1961-11-15,12.512024879455566
1961-11-16,12.33289909362793
1961-11-17,12.036083221435547
1961-11-18,12.119269371032715
1961-11-19,11.569194793701172
1961-11-20,11.70844841003418
1961-11-21,11.618037223815918
1961-11-22,11.480667114257812
1961-11-23,10.472601890563965
1961-11-24,10.16990852355957
1961-11-25,9.61713695526123
1961-11-26,10.075944900512695
1961-11-27,11.032124519348145
1961-11-28,10.910922050476074
1961-11-29,10.97348403930664
1961-11-30,11.205339431762695
1961-12-01,11.201683044433594
1961-12-02,11.445388793945312
1961-12-03,10.542167663574219
1961-12-04,9.80225658416748
1961-12-05,10.146597862243652
1961-12-06,9.572235107421875
1961-12-07,9.121408462524414
1961-12-08,8.216947555541992
1961-12-09,8.992011070251465
1961-12-10,8.981141090393066
1961-12-11,8.984724998474121
1961-12-12,9.160122871398926
1961-12-13,7.957414150238037
1961-12-14,8.207674026489258
1961-12-15,7.0224289894104
1961-12-16,7.659987926483154
1961-12-17,8.855435371398926
1961-12-18,9.279193878173828
1961-12-19,7.5422587394714355
1961-12-20,7.0737104415893555
1961-12-21,6.576324462890625
1961-12-22,6.971327304840088
1961-12-23,6.227753162384033
1961-12-24,6.056171894073486
1961-12-25,5.836204528808594
1961-12-26,6.199634552001953
1961-12-27,6.262104511260986
1961-12-28,6.677557945251465
1961-12-29,7.983206748962402
1961-12-30,7.731540203094482
1961-12-31,7.861084461212158
1962-01-01,8.637188911437988
1962-01-02,8.39599323272705
1962-01-03,8.049398422241211
1962-01-04,8.096955299377441
1962-01-05,8.968937873840332
1962-01-06,8.608746528625488
1962-01-07,8.578607559204102
1962-01-08,8.323834419250488
1962-01-09,8.61465835571289
1962-01-10,9.48035717010498
1962-01-11,9.153611183166504
1962-01-12,9.373579025268555
1962-01-13,8.765719413757324
1962-01-14,7.810760021209717
1962-01-15,7.176666736602783
1962-01-16,6.645353317260742
1962-01-17,6.0711212158203125
1962-01-18,6.458054542541504
1962-01-19,6.607280731201172
1962-01-20,7.364552974700928
1962-01-21,8.078161239624023
1962-01-22,9.247130393981934
1962-01-23,9.105386734008789
1962-01-24,9.137243270874023
1962-01-25,8.778797149658203
1962-01-26,8.879082679748535
1962-01-27,7.1602911949157715
1962-01-28,7.132404327392578
1962-01-29,7.86624813079834
1962-01-30,8.272130966186523
1962-01-31,8.499564170837402
1962-02-01,8.632647514343262
1962-02-02,9.488180160522461
1962-02-03,9.461386680603027
1962-02-04,9.661275863647461
1962-02-05,9.479330062866211
1962-02-06,10.49438190460205
1962-02-07,8.894940376281738
1962-02-08,7.874248027801514
1962-02-09,7.2654709815979
1962-02-10,8.631878852844238
1962-02-11,10.224721908569336
1962-02-12,10.734803199768066
1962-02-13,11.76346206665039
1962-02-14,11.975189208984375
1962-02-15,11.644814491271973
1962-02-16,12.159232139587402
1962-02-17,12.499119758605957
1962-02-18,12.900596618652344
1962-02-19,12.041738510131836
1962-02-20,8.088930130004883
1962-02-21,10.898146629333496
1962-02-22,11.712323188781738
1962-02-23,11.692792892456055
1962-02-24,12.278519630432129
1962-02-25,11.505529403686523
1962-02-26,11.023579597473145
1962-02-27,11.184362411499023
1962-02-28,10.666940689086914
1962-03-01,10.6820707321167
1962-03-02,11.606917381286621
1962-03-03,11.410025596618652
1962-03-04,11.893208503723145
1962-03-05,11.564350128173828
1962-03-06,9.262090682983398
1962-03-07,10.111312866210938
1962-03-08,11.137640953063965
1962-03-09,11.303218841552734
1962-03-10,11.354372024536133
1962-03-11,12.060924530029297
1962-03-12,12.520360946655273
1962-03-13,12.44592571258545
1962-03-14,13.266161918640137
1962-03-15,14.108972549438477
1962-03-16,14.995644569396973
1962-03-17,15.31392765045166
1962-03-18,15.31215763092041
1962-03-19,15.536378860473633
1962-03-20,14.567724227905273
1962-03-21,14.11924934387207
1962-03-22,14.325090408325195
1962-03-23,14.705957412719727
1962-03-24,14.776723861694336
1962-03-25,15.669135093688965
1962-03-26,16.039051055908203
1962-03-27,16.690950393676758
1962-03-28,16.69390869140625
1962-03-29,16.70862579345703
1962-03-30,17.65696144104004
1962-03-31,16.745967864990234
1962-04-01,18.123746871948242
1962-04-02,17.940753936767578
1962-04-03,17.155527114868164
1962-04-04,16.381977081298828
1962-04-05,16.21219253540039
1962-04-06,17.046483993530273
1962-04-07,17.26801300048828
1962-04-08,17.696434020996094
1962-04-09,18.844066619873047
1962-04-10,18.669849395751953
1962-04-11,18.87866973876953
1962-04-12,17.868837356567383
1962-04-13,18.81267547607422
1962-04-14,19.133533477783203
1962-04-15,19.927875518798828
1962-04-16,18.741865158081055
1962-04-17,19.6953067779541
1962-04-18,17.672922134399414
1962-04-19,16.83664894104004
1962-04-20,16.27682876586914
1962-04-21,17.160659790039062
1962-04-22,17.551435470581055
1962-04-23,19.771160125732422
1962-04-24,19.85481834411621
1962-04-25,18.91461181640625
1962-04-26,18.94333839416504
1962-04-27,18.698558807373047
1962-04-28,18.89487648010254
1962-04-29,18.270145416259766
1962-04-30,16.75060272216797
1962-05-01,17.323820114135742
1962-05-02,17.93928337097168
1962-05-03,18.16632652282715
1962-05-04,19.328718185424805
1962-05-05,18.2915096282959
1962-05-06,19.34073829650879
1962-05-07,19.3240909576416
1962-05-08,19.92278289794922
1962-05-09,19.451717376708984
1962-05-10,19.845460891723633
1962-05-11,19.99396514892578
1962-05-12,18.46685218811035
1962-05-13,18.865976333618164
1962-05-14,19.70836639404297
1962-05-15,19.35272216796875
1962-05-16,20.027727127075195
1962-05-17,20.470050811767578
1962-05-18,20.584115982055664
1962-05-19,21.82123565673828
1962-05-20,20.626306533813477
1962-05-21,21.309955596923828
1962-05-22,22.466081619262695
1962-05-23,22.18885040283203
1962-05-24,21.418975830078125
1962-05-25,20.937850952148438
1962-05-26,21.385770797729492
1962-05-27,21.440631866455078
1962-05-28,22.899003982543945
1962-05-29,20.815847396850586
1962-05-30,21.21195411682129
1962-05-31,21.322011947631836
1962-06-01,21.770404815673828
1962-06-02,22.37736701965332
1962-06-03,21.90768051147461
1962-06-04,22.722259521484375
1962-06-05,24.169057846069336
1962-06-06,24.31009864807129
1962-06-07,23.260475158691406
1962-06-08,22.771238327026367
1962-06-09,23.121061325073242
1962-06-10,21.779664993286133
1962-06-11,21.084169387817383
1962-06-12,21.303434371948242
1962-06-13,21.714548110961914
1962-06-14,21.33687400817871
1962-06-15,20.513151168823242
1962-06-16,22.114517211914062
1962-06-17,22.68976402282715
1962-06-18,23.821718215942383
1962-06-19,23.1912899017334
1962-06-20,22.798114776611328
1962-06-21,22.682775497436523
1962-06-22,22.554208755493164
1962-06-23,21.382822036743164
1962-06-24,21.77768898010254
1962-06-25,21.615806579589844
1962-06-26,21.34833335876465
1962-06-27,22.343172073364258
1962-06-28,21.579761505126953
1962-06-29,21.640174865722656
1962-06-30,21.95650863647461
1962-07-01,22.382083892822266
1962-07-02,21.81318473815918
1962-07-03,22.01544189453125
1962-07-04,22.530485153198242
1962-07-05,22.303220748901367
1962-07-06,21.748645782470703
1962-07-07,22.709815979003906
1962-07-08,22.60660171508789
1962-07-09,23.276182174682617
1962-07-10,22.773292541503906
1962-07-11,22.881797790527344
1962-07-12,23.353044509887695
1962-07-13,23.657316207885742
1962-07-14,23.82284164428711
1962-07-15,24.196714401245117
1962-07-16,22.499530792236328
1962-07-17,22.545982360839844
1962-07-18,21.509227752685547
1962-07-19,21.824827194213867
1962-07-20,22.73411750793457
1962-07-21,22.969650268554688
1962-07-22,23.15268898010254
1962-07-23,22.537256240844727
1962-07-24,22.67046546936035
1962-07-25,22.610191345214844
1962-07-26,21.681657791137695
1962-07-27,21.125192642211914
1962-07-28,21.321819305419922
1962-07-29,21.86098289489746
1962-07-30,21.848590850830078
1962-07-31,21.96213722229004
1962-08-01,22.189056396484375
1962-08-02,21.469572067260742
1962-08-03,20.684423446655273
1962-08-04,21.227582931518555
1962-08-05,22.013866424560547
1962-08-06,22.20587158203125
1962-08-07,22.258073806762695
1962-08-08,22.720258712768555
1962-08-09,21.98222541809082
1962-08-10,21.984582901000977
1962-08-11,21.98552894592285
1962-08-12,21.689775466918945
1962-08-13,22.380481719970703
1962-08-14,22.56434440612793
1962-08-15,21.99939727783203
1962-08-16,21.36034393310547
1962-08-17,20.708189010620117
1962-08-18,20.052438735961914
1962-08-19,20.251789093017578
1962-08-20,20.410932540893555
1962-08-21,20.813404083251953
1962-08-22,21.005659103393555
1962-08-23,21.517459869384766
1962-08-24,21.711101531982422
1962-08-25,21.62576675415039
1962-08-26,21.329160690307617
1962-08-27,21.28675651550293
1962-08-28,21.54741096496582
1962-08-29,20.837120056152344
1962-08-30,20.658300399780273
1962-08-31,21.044084548950195
1962-09-01,21.72875213623047
1962-09-02,21.8775691986084
1962-09-03,22.03217124938965
1962-09-04,21.822856903076172
1962-09-05,21.662900924682617
1962-09-06,22.00145149230957
1962-09-07,21.73220443725586
1962-09-08,21.65157127380371
1962-09-09,21.620336532592773
1962-09-10,21.654977798461914
1962-09-11,21.266143798828125
1962-09-12,21.425756454467773
1962-09-13,21.571786880493164
1962-09-14,21.632497787475586
1962-09-15,21.464223861694336
1962-09-16,20.854955673217773
1962-09-17,21.441835403442383
1962-09-18,21.92562484741211
1962-09-19,22.258590698242188
1962-09-20,22.556339263916016
1962-09-21,20.629436492919922
1962-09-22,20.04513168334961
1962-09-23,20.11785316467285
1962-09-24,20.107534408569336
1962-09-25,19.9932918548584
1962-09-26,20.231544494628906
1962-09-27,20.00287628173828
1962-09-28,20.088579177856445
1962-09-29,20.817474365234375
1962-09-30,21.05196189880371
1962-10-01,20.859277725219727
1962-10-02,20.318281173706055
1962-10-03,20.172374725341797
1962-10-04,20.329566955566406
1962-10-05,20.41815185546875
1962-10-06,19.893024444580078
1962-10-07,19.177709579467773
1962-10-08,19.267566680908203
1962-10-09,18.758808135986328
1962-10-10,18.494873046875
1962-10-11,17.724294662475586
1962-10-12,17.813030242919922
1962-10-13,17.935710906982422
1962-10-14,17.86758804321289
1962-10-15,16.731910705566406
1962-10-16,16.641691207885742
1962-10-17,16.933500289916992
1962-10-18,16.456005096435547
1962-10-19,16.86830711364746
1962-10-20,16.929014205932617
1962-10-21,16.746105194091797
1962-10-22,17.098983764648438
1962-10-23,17.042015075683594
1962-10-24,17.012287139892578
1962-10-25,16.650436401367188
1962-10-26,17.227338790893555
1962-10-27,17.05645179748535
1962-10-28,16.740381240844727
1962-10-29,16.094104766845703
1962-10-30,16.363971710205078
1962-10-31,15.64272689819336
1962-11-01,15.328752517700195
1962-11-02,15.657631874084473
1962-11-03,14.858843803405762
1962-11-04,14.474197387695312
1962-11-05,14.883596420288086
1962-11-06,14.518549919128418
1962-11-07,14.812522888183594
1962-11-08,14.790406227111816
1962-11-09,14.73240852355957
1962-11-10,14.685842514038086
1962-11-11,15.09114933013916
1962-11-12,14.85622787475586
1962-11-13,14.910707473754883
1962-11-14,14.254119873046875
1962-11-15,14.661001205444336
1962-11-16,14.685124397277832
1962-11-17,14.627796173095703
1962-11-18,14.39944076538086
1962-11-19,14.226662635803223
1962-11-20,14.521206855773926
1962-11-21,14.312271118164062
1962-11-22,12.994235038757324
1962-11-23,13.418924331665039
1962-11-24,12.396498680114746
1962-11-25,11.113985061645508
1962-11-26,11.229081153869629
1962-11-27,11.914358139038086
1962-11-28,12.282062530517578
1962-11-29,12.802286148071289
1962-11-30,12.055505752563477
1962-12-01,11.614580154418945
1962-12-02,11.216511726379395
1962-12-03,11.738296508789062
1962-12-04,11.618090629577637
1962-12-05,12.708463668823242
1962-12-06,11.986522674560547
1962-12-07,12.1546049118042
1962-12-08,11.792738914489746
1962-12-09,11.185833930969238
1962-12-10,10.532904624938965
1962-12-11,10.455306053161621
1962-12-12,10.290197372436523
1962-12-13,9.777029991149902
1962-12-14,9.806751251220703
1962-12-15,9.150003433227539
1962-12-16,10.002520561218262
1962-12-17,10.343545913696289
1962-12-18,10.868494987487793
1962-12-19,10.867058753967285
1962-12-20,10.530834197998047
1962-12-21,9.391120910644531
1962-12-22,10.396653175354004
1962-12-23,10.38900375366211
1962-12-24,10.161869049072266
1962-12-25,9.834111213684082
1962-12-26,9.902237892150879
1962-12-27,10.040940284729004
1962-12-28,10.230679512023926
1962-12-29,10.338883399963379
1962-12-30,8.93432331085205
1962-12-31,9.039111137390137
1963-01-01,8.46856689453125
1963-01-02,8.267637252807617
1963-01-03,8.395120620727539
1963-01-04,8.258041381835938
1963-01-05,8.156272888183594
1963-01-06,8.051876068115234
1963-01-07,8.64762020111084
1963-01-08,8.835244178771973
1963-01-09,9.174372673034668
1963-01-10,8.448372840881348
1963-01-11,9.121537208557129
1963-01-12,9.75790023803711
1963-01-13,8.44075870513916
1963-01-14,9.01681900024414
1963-01-15,9.751042366027832
1963-01-16,9.234896659851074
1963-01-17,8.259814262390137
1963-01-18,8.057231903076172
1963-01-19,7.80537223815918
1963-01-20,7.979044437408447
1963-01-21,8.89276123046875
1963-01-22,9.286651611328125
1963-01-23,8.798619270324707
1963-01-24,9.763216972351074
1963-01-25,9.773581504821777
1963-01-26,9.871992111206055
1963-01-27,10.149430274963379
1963-01-28,10.402031898498535
1963-01-29,10.392027854919434
